Id,UserLoginName,Password,Type,IsActive
1,admin,admin,NGO,Y
2,lilavati,lilavati,Hospital,Y
3,mgm,mgm,Hospital,N
4,dfname1,dfname1,Donor,Y
5,dfname2,dfname2,Donor,Y
6,dfname3,dfname3,Donor,Y
7,dfname4,dfname4,Donor,Y
8,dfname5,dfname5,Donor,Y
9,dfname6,dfname6,Donor,Y
10,dfname7,dfname7,Donor,Y
11,dfname8,dfname8,Donor,Y
12,dfname9,dfname9,Donor,Y
13,dfname10,dfname10,Donor,Y
14,dfname11,dfname11,Donor,Y
15,dfname12,dfname12,Donor,Y
16,dfname13,dfname13,Donor,Y
17,dfname14,dfname14,Donor,Y
18,dfname15,dfname15,Donor,Y
19,dfname16,dfname16,Donor,Y
20,dfname17,dfname17,Donor,Y
21,dfname18,dfname18,Donor,Y
22,dfname19,dfname19,Donor,Y
23,dfname20,dfname20,Donor,Y
